jurisdiction,metric,metric_type,capture_datetime,value,flag_type,flag_decimal_spike_dip,flag_spike_dip,flag_ndis_labs_spike,flag_stale_exact_reappearance
Alabama,Forensic Profiles,forensic_profiles,2004-04-06 12:25:35,10,spike_dip,False,True,False,False
Alabama,Forensic Profiles,forensic_profiles,2008-09-16 15:14:50,3564,stale_exact_reappearance,False,False,False,True
Alabama,Forensic Profiles,forensic_profiles,2008-09-21 08:10:01,3564,stale_exact_reappearance,False,False,False,True
Alabama,Forensic Profiles,forensic_profiles,2008-10-24 07:28:21,3564,stale_exact_reappearance,False,False,False,True
Alabama,Forensic Profiles,forensic_profiles,2009-08-25 08:29:04,3564,stale_exact_reappearance,False,False,False,True
Alabama,Offender Profiles,offender_profiles,2008-09-16 15:14:50,157187,stale_exact_reappearance,False,False,False,True
Alabama,Offender Profiles,offender_profiles,2008-09-21 08:10:01,157187,stale_exact_reappearance,False,False,False,True
Alabama,Offender Profiles,offender_profiles,2008-10-24 07:28:21,157187,stale_exact_reappearance,False,False,False,True
Alabama,Offender Profiles,offender_profiles,2009-08-25 08:29:04,157187,stale_exact_reappearance,False,False,False,True
Alabama,Offender Profiles,offender_profiles,2014-12-15 08:30:55,22192,decimal_spike_dip,True,False,False,False
Alabama,Offender Profiles,offender_profiles,2014-12-26 09:29:17,22192,decimal_spike_dip,True,False,False,False
Alabama,Offender Profiles,offender_profiles,2015-01-07 16:29:32,22192,decimal_spike_dip,True,False,False,False
Alaska,Forensic Profiles,forensic_profiles,2006-03-30 04:26:05,238,stale_exact_reappearance,False,False,False,True
Alaska,Forensic Profiles,forensic_profiles,2006-04-06 13:26:24,238,stale_exact_reappearance,False,False,False,True
Alaska,Forensic Profiles,forensic_profiles,2006-04-13 01:03:40,238,stale_exact_reappearance,False,False,False,True
Alaska,Forensic Profiles,forensic_profiles,2006-04-19 23:29:15,238,stale_exact_reappearance,False,False,False,True
Alaska,Forensic Profiles,forensic_profiles,2006-04-26 23:35:10,238,stale_exact_reappearance,False,False,False,True
