citation,asof_date,offender_profiles,arrestee_profiles,forensic_profiles,total_profiles,investigations_aided,short_label
FBI Brochure,2000-12-01,441181.0,,21625.0,,1573,FBI (Dec 2000)
FBI Brochure,2002-12-01,1247163.0,,46177.0,,6670,FBI (Dec 2002)
FBI Brochure,2004-12-01,2038514.0,,93956.0,,21266,FBI (Dec 2004)
FBI Brochure,2006-12-01,3977435.0,54313.0,160582.0,4192330.0,45364,FBI (Dec 2006)
FBI Brochure,2008-12-01,6399200.0,140719.0,248943.0,6788862.0,81955,FBI (Dec 2008)
FBI Brochure,2010-12-01,8564705.0,668849.0,351951.0,9585505.0,130317,FBI (Dec 2010)
FBI Brochure,2012-12-01,10086404.0,1332721.0,446689.0,11865814.0,190560,FBI (Dec 2012)
FBI Brochure,2015-06-01,11822927.0,2028734.0,638162.0,14489823.0,274648,FBI (Jun 2015)
"Ge et al., 2012",2011-06-01,,,,10000000.0,141300,"Ge et al., 2012"
"Ge et al., 2014",2013-05-01,,,,12000000.0,185000,"Ge et al., 2014"
"Wickenheiser, 2022",2021-10-01,14836490.0,4513955.0,1144255.0,20494700.0,587773,"Wickenheiser, 2022"
"Link et al., 2023",2022-11-01,,,,21791620.0,622955,"Link et al., 2023"
"Greenwald & Phiri, 2024",2024-02-01,17000000.0,5000000.0,1300000.0,23300000.0,680000,"Greenwald & Phiri, 2024"
